Reclamacao,Categoria,Cluster,Comprimento
"Nubank falha ao contestar transação via PIX e cliente perde R$ 200,00 em [Editado pelo Reclame Aqui]",Cartão de Crédito,0,100
Bloqueio e Desativação de Conta Nubank sem Permissão ou Motivo,Bloqueio de Conta,1,62
Banco não libera crédito nem aumenta limite mesmo com pagamento em dia e movimentação alta,Cartão de Crédito,3,90
"Não consigo acessar minha conta após troca de aparelho celular, impactando pagamentos.",Acesso à Conta,1,86
"Não consigo acessar minha conta após troca de aparelho celular, impactando pagamentos.",Acesso à Conta,1,86
Contestação de PIX negada apesar de evidências de [Editado pelo Reclame Aqui] e histórico de devolução pela Nubank,Problemas com PIX,0,114
Cobrança Indevida Após Desativação de Conta Nubank e Solicitação de Encerramento Definitivo,Cobrança Indevida,2,91
"Falha na portabilidade e no plano, cliente sem serviço e sem internet",Outros,0,69
"Pix Protegido Nubank: Sinistro Aprovado em 13/03, Mas Indenização de R$400,00 Não Creditada Após Dias",Problemas com PIX,1,101
Compra duplicada no cartão e falha no estorno e atendimento,Atendimento,3,59
Nubank ignora contestação de Pix e não oferece suporte para estorno de transferências indevidas,Atendimento,0,95
Solicitação de aumento de limite negada,Cartão de Crédito,3,39
"Compra não reconhecida no cartão de crédito via Aplicativo Shein no valor de R$ 598,73",Cartão de Crédito,3,86
Impossibilidade de Acesso à Conta PJ e Investimentos na NuBank gera transtornos financeiros e operacionais,Acesso à Conta,1,106
"Nubank cancelou cartão de crédito após pagamento da fatura, gerando transtornos ao cliente.",Cartão de Crédito,3,91
Nubank Cobrança de Juros Abusivos..w,Cobrança Indevida,2,36
Conta bloqueada por motivos de segurança sem notificação prévia e saldo indisponível para necessidades básicas.,Outros,1,111
Solicitação de Reativação de Cartão de Crédito Nubank após Insatisfação com Limite,Cartão de Crédito,3,82
Nubank: Oferta de empréstimo de R$ 50.000 negada para solicitação de R$ 8.000 após envio de comprovante de renda,Empréstimo,1,112
Celular Furtado e Transações [Editado pelo Reclame Aqui]: Banco Recusa Contestação e Cliente Busca Reembolso para Tratamento de Filho Autista,Atendimento,0,141
Bloqueio de conta,Bloqueio de Conta,1,17
Descumprimento de acordo + cobranças sucessivas após quitação,Cobrança Indevida,3,61
Cobrança indevida e aumento de dívida no cartão de crédito,Cartão de Crédito,2,58
Cartão Nubank não recebido após confirmação de entrega,Cartão de Crédito,3,54
Solicitação de Reativação de Conta Nubank - Encerramento Sem Explicação Detalhada,Bloqueio de Conta,1,81
Cancelamento arbitrário de conta PJ após atualização cadastral,Outros,1,62
Conta bloqueada e desativada após recebimento de estorno rápido,Problemas com PIX,1,63
"Nubank: Mal educado, recusa reativação de cartão de crédito e não resolve o problema",Atendimento,3,84
Encerramento de conta indevido e solicitação de reativação para manter seguro.,Cobrança Indevida,1,78
Cobrança de juros indevidos em empréstimo consignado após falha no débito automático.,Empréstimo,2,85
